id;nomealuno;email;password
1;"DhqsdTE UMity HSh RDjtMy Zutjc Ix LpyNFdt CwuGCF Okaabk HgaGt";"0is2@a3o.s.hbhq";narrow
2;"NkXLD BFqWG RGMoZPy YWR XljqgX YrU";"_c@0ri9t.vilmbm";violent pfft
3;"AqL KzTSsh Aa Yvj Jk CssZnZA da Xvq Nn XUdO PLbiL STtLwD";"f2vbn.@7bpt6.cdqa";colorless yum inside
4;"JkZE FPy YjXtSG da RpVkjxC Pg XzqJYzS VrqXB HjuJ";"8vx-@i899.qapyc";baa
5;"Dr AeqNGre JBDOG EWIijux NPw do";"8z9.@dff11b.oyu";save puff against
6;"YZROox da JnUa";"7oth7k@i4.jj";sunbeam ha eek
7;"VEHTOs do ZCLv";"woo@8h.nbse";lovingly
8;"Elwe Kl YtFS SwNCH TJ dos QZZu DghkAS YmU KMq";"m4+m@hra.ocrizuo";hassle zowie like
9;"TYi VbKsxo EqYsYAR Eyewg";"ku%sj9@rnoq2.vy";blaring once
10;"NQrXX YCZkbyE NfcLi OiaXF HTuOxm XNipN GIRa";"z4-wq@j.bwufbku";intent
