id;nomeprofessor;email;password
1;"PIWmLZP BnMPshJ BEZL da Ay Pxx DkFSeyz";"9skfkn@-r4u5.trp";entice yum regularly
2;"KN DbZ do";"w%zy@ol6.nytu";oval including
3;"MJqv Rm NgHOESq SHlLI HpBc FuqkAH do AXC";"8c5@nivip8.fb";through enchanted
4;"MWSpY Cc dos TyklW GTwGYyA CMJuz";"%wn@gp1ma.hebjx";pfft request uselessly
5;"JaKjzxa Ye HdKODlB KcNYrGd GscrGtQ Ci JRtlcv ELVk RNE";"l.+6@44.mdq.bc";speedily descriptive
6;"TRoXPU das DxFxCld Uv WAdxm";"jdec@mmy.hwlc";below
7;"QFrCUVq ZYFPz CI NAP NK YoOQMPw";"um+@-4e.qjc";deer
8;"Uyvlu HFtnMa LfZhfc dos";"itmtyj@a6cncg.nlr";for
9;"MdYzhc VVNU DzG";"-@9m.tq";appropriate
10;"VX CjDJTo";"ad99@n4..zbq";damp frozen
